,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
1210,1321267B,2022,Tikkurila Cricket Ground,Greece,Croatia,37,1,46,5,18,3,101,9,Greece,field,Vantaa,Croatia
1211,702143A,2014,"Sabina Park, Kingston",West Indies,Ireland,30,1,44,4,22,3,96,8,Ireland,field,Jamaica,West Indies
1211,702143B,2014,"Sabina Park, Kingston",Ireland,West Indies,19,2,46,4,20,2,85,8,Ireland,field,Jamaica,West Indies
1212,1157375A,2018,Sheikh Zayed Stadium,Pakistan,New Zealand,31,2,75,2,42,2,148,6,Pakistan,bat,Abu Dhabi,Pakistan
1212,1157375B,2018,Sheikh Zayed Stadium,New Zealand,Pakistan,50,1,53,3,43,2,146,6,Pakistan,bat,Abu Dhabi,Pakistan
1213,690353A,2014,Zahur Ahmed Chowdhury Stadium,Bangladesh,Sri Lanka,42,4,49,3,29,3,120,10,Bangladesh,bat,Chittagong,Sri Lanka
1213,690353B,2014,Zahur Ahmed Chowdhury Stadium,Sri Lanka,Bangladesh,31,1,56,3,36,1,123,5,Bangladesh,bat,Chittagong,Sri Lanka
1214,446961A,2011,Melbourne Cricket Ground,Australia,England,57,1,51,3,39,2,147,6,Australia,bat,,Australia
1214,446961B,2011,Melbourne Cricket Ground,England,Australia,50,0,53,4,40,2,143,6,Australia,bat,,Australia
1215,1197145A,2019,Zahur Ahmed Chowdhury Stadium,Afghanistan,Bangladesh,42,0,68,5,28,1,138,6,Bangladesh,field,Chattogram,Bangladesh
1215,1197145B,2019,Zahur Ahmed Chowdhury Stadium,Bangladesh,Afghanistan,28,2,77,3,34,0,139,5,Bangladesh,field,Chattogram,Bangladesh
1216,1310938A,2022,"Queens Sports Club, Bulawayo",Zimbabwe,Namibia,44,1,72,1,37,1,153,3,Zimbabwe,bat,Bulawayo,Zimbabwe
