,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event
235,914219A,2016,Eden Park,Sri Lanka,New Zealand,37,2,66,6,39,0,142,8,New Zealand,field,Auckland,New Zealand,Sri Lanka in New Zealand T20I Series
235,914219B,2016,Eden Park,New Zealand,Sri Lanka,82,0,65,1,0,0,147,1,New Zealand,field,Auckland,New Zealand,Sri Lanka in New Zealand T20I Series
236,1188622A,2019,Central Broward Regional Park Stadium Turf Ground,India,West Indies,52,0,78,3,37,2,167,5,India,bat,Lauderhill,India,India tour of United States of America and West Indies
236,1188622B,2019,Central Broward Regional Park Stadium Turf Ground,West Indies,India,25,2,73,1,0,0,98,3,India,bat,Lauderhill,India,India tour of United States of America and West Indies
237,914225A,2016,Westpac Stadium,New Zealand,Pakistan,57,1,87,3,52,2,196,6,Pakistan,field,Wellington,New Zealand,Pakistan in New Zealand T20I Series
237,914225B,2016,Westpac Stadium,Pakistan,New Zealand,42,4,59,5,0,1,101,10,Pakistan,field,Wellington,New Zealand,Pakistan in New Zealand T20I Series
238,1233959A,2020,Eden Park,Pakistan,New Zealand,29,4,71,2,53,3,153,9,Pakistan,bat,Auckland,New Zealand,Pakistan tour of New Zealand
238,1233959B,2020,Eden Park,New Zealand,Pakistan,40,2,87,2,29,0,156,4,Pakistan,bat,Auckland,New Zealand,Pakistan tour of New Zealand
239,1283042A,2021,Gahanga International Cricket Stadium. Rwanda,Botswana,Sierra Leone,44,1,86,1,27,3,157,5,Botswana,bat,Kigali City,Botswana,ICC Men's T20 World Cup Sub Regional Africa Qualifier
239,1283042B,2021,Gahanga International Cricket Stadium. Rwanda,Sierra Leone,Botswana,26,4,48,4,11,0,85,8,Botswana,bat,Kigali City,Botswana,ICC Men's T20 World Cup Sub Regional Africa Qualifier
240,1317151A,2022,"Providence Stadium, Guyana",Bangladesh,West Indies,44,2,85,1,34,1,163,4,Bangladesh,bat,Providence,West Indies,Bangladesh tour of West Indies
240,1317151B,2022,"Providence Stadium, Guyana",West Indies,Bangladesh,43,2,101,1,25,1,169,4,Bangladesh,bat,Providence,West Indies,Bangladesh tour of West Indies
241,1310170A,2022,Marsa Sports Club,Gibraltar,Malta,49,2,50,2,33,1,132,5,Malta,field,Marsa,Malta,Valletta Cup
241,1310170B,2022,Marsa Sports Club,Malta,Gibraltar,37,1,83,3,15,1,135,5,Malta,field,Marsa,Malta,Valletta Cup
242,1192875A,2019,Pallekele International Cricket Stadium,Sri Lanka,New Zealand,50,1,81,1,43,2,174,4,Sri Lanka,bat,Kandy,New Zealand,New Zealand tour of Sri Lanka
242,1192875B,2019,Pallekele International Cricket Stadium,New Zealand,Sri Lanka,36,2,105,2,34,0,175,4,Sri Lanka,bat,Kandy,New Zealand,New Zealand tour of Sri Lanka
243,1310164A,2022,"Desert Springs Cricket Ground, Almeria",Guernsey,Spain,28,2,33,7,17,1,78,10,Guernsey,bat,Almeria,Spain,Spain Triangular T20I Series
243,1310164B,2022,"Desert Springs Cricket Ground, Almeria",Spain,Guernsey,36,1,44,1,0,0,80,2,Guernsey,bat,Almeria,Spain,Spain Triangular T20I Series
244,1233971A,2021,Hagley Oval,New Zealand,Australia,34,3,98,1,52,1,184,5,Australia,field,Christchurch,New Zealand,Australia tour of New Zealand
244,1233971B,2021,Hagley Oval,Australia,New Zealand,36,4,79,5,16,1,131,10,Australia,field,Christchurch,New Zealand,Australia tour of New Zealand
